experiment,architecture,library,algorithm,seeds,frames,return_mean,return_std,operating_cost_mean,operating_cost_std,safety_mean,safety_std,convergence_mean,convergence_std
Coordinated dispatch,Centralized execution,Stable-Baselines3,PPO,3,500000,-88.191637,10.484691,34.178400,0.000000,5.401324,1.048469,1.000000,0.000000
Coordinated dispatch,Centralized execution,Stable-Baselines3,DDPG,3,500000,-882.189416,1353.388988,651.579594,1069.370236,23.060982,28.925060,1.000000,0.000000
Coordinated dispatch,Centralized execution,Stable-Baselines3,SAC,3,500000,-117.723458,41.721071,56.483952,6.043844,6.123951,3.679325,1.000000,0.000000
Coordinated dispatch,Centralized execution,Stable-Baselines3,TD3,3,500000,-142.607480,58.831097,35.880922,2.948186,10.672656,5.605331,1.000000,0.000000
BenchMARL CTDE,CTDE,BenchMARL 1.4.0,MAPPO,3,493920,-303.429465,5.698128,175.809149,23.196967,12.762032,2.889493,1.000000,0.000000
BenchMARL CTDE,CTDE,BenchMARL 1.4.0,MADDPG,3,493920,-1908.465210,439.872153,34.280131,1.899193,187.418512,44.172900,1.000000,0.000000
BenchMARL CTDE,CTDE,BenchMARL 1.4.0,MASAC,3,493920,-751.241183,538.394531,224.026688,169.651819,52.721450,36.878677,1.000000,0.000000
Custom CTDE,CTDE,PyTorch,MAPPO,3,500000,-97.864810,20.563495,47.846216,4.343129,5.001859,2.409078,1.000000,0.000000
Custom CTDE,CTDE,PyTorch,MADDPG,3,500000,-95.406941,19.034932,33.182401,0.000001,6.222454,1.903493,1.000000,0.000000
Custom CTDE,CTDE,PyTorch,MASAC,3,500000,-520.011074,59.804423,89.970360,22.723600,43.004071,8.134868,1.000000,0.000000
